employee_id,employee_name,department,job_level,contract_type,age,years_experience,monthly_salary,performance_score
59,Andrés López,Recursos Humanos,Junior,Contrato,38,18,1269.38,4.79
60,Andrés López,TI,Semi-Senior,Contrato,20,14,1001.7,1.16
61,Sofía Hernández,TI,Junior,Medio tiempo,45,27,1505.42,3.97
62,Pedro Martínez,Finanzas,Semi-Senior,Medio tiempo,26,31,1160.47,4.06
63,José Vera,Marketing,Senior,Contrato,43,10,956.84,4.78
64,Jorge García,Recursos Humanos,Semi-Senior,Tiempo completo,27,25,1514.76,1.32
65,Juan Mendoza,TI,Junior,Medio tiempo,54,0,1376.82,3.69
66,Paula Mendoza,Ventas,Senior,Medio tiempo,32,3,804.22,2.59
67,Miguel Hernández,TI,Junior,Medio tiempo,38,28,1157.29,4.96
68,Luis Hernández,Marketing,Semi-Senior,Contrato,40,28,1398.75,1.57
69,Juan Vera,Marketing,Junior,Medio tiempo,46,28,1469.3,3.55
70,Diego Castro,Recursos Humanos,Junior,Tiempo completo,29,27,991.08,3.64
71,Diego Pérez,Recursos Humanos,Senior,Tiempo completo,32,32,639.37,1.46
72,Sofía Pérez,TI,Senior,Contrato,26,29,1386.27,3.92
73,Valentina Mendoza,Marketing,Junior,Contrato,29,11,889.2,2.49
74,Luis López,Recursos Humanos,Semi-Senior,Tiempo completo,33,6,1282.3,2.73
75,Natalia Mendoza,TI,Senior,Medio tiempo,57,6,1176.44,1.88
76,Miguel Vera,Ventas,Senior,Tiempo completo,55,32,855.23,2.96
77,Lucía Pérez,Finanzas,Semi-Senior,Contrato,38,0,724.56,2.24
78,Fernando Gómez,Operaciones,Junior,Contrato,39,14,1018.83,1.78
79,Carlos Rodríguez,Marketing,Senior,Tiempo completo,56,18,587.64,3.73
80,Miguel Castro,Ventas,Senior,Contrato,46,1,1482.54,2.83
81,María Rodríguez,Ventas,Junior,Medio tiempo,39,3,1309.63,2.84
82,Miguel Hernández,Operaciones,Semi-Senior,Tiempo completo,42,1,544.17,3.55
83,Valentina Pérez,Marketing,Junior,Tiempo completo,28,20,721.16,4.67
84,María Mendoza,Recursos Humanos,Semi-Senior,Medio tiempo,20,32,1261.91,4.92
85,Camila López,Operaciones,Semi-Senior,Medio tiempo,28,1,770.01,1.25
86,Paula Vera,Finanzas,Semi-Senior,Tiempo completo,51,0,1583.75,1.51
87,Miguel López,Recursos Humanos,Semi-Senior,Tiempo completo,27,5,1504.2,1.1
88,María Gómez,Marketing,Senior,Tiempo completo,35,21,1573.57,1.34
89,Jorge Mendoza,TI,Semi-Senior,Tiempo completo,40,24,1399.05,2.85
90,José Martínez,Operaciones,Junior,Contrato,35,6,1078.2,2.83
91,Lucía García,Recursos Humanos,Senior,Medio tiempo,36,6,1092.56,3.68
92,Valentina Rodríguez,TI,Junior,Tiempo completo,39,19,708.36,4.23
93,Lucía Pérez,TI,Junior,Tiempo completo,42,22,1693.06,4.35
94,Lucía Castro,Operaciones,Senior,Contrato,56,19,1274.01,3.94
95,Daniela Rodríguez,Recursos Humanos,Junior,Contrato,44,30,1009.87,2.02
96,Diego Martínez,TI,Junior,Medio tiempo,53,28,2055.99,3.28
97,María García,TI,Senior,Contrato,59,18,838.09,2.63
98,María Vera,Finanzas,Semi-Senior,Medio tiempo,22,25,1931.17,2.01
99,Carlos Gómez,Marketing,Junior,Contrato,54,13,1233.99,3.5
100,Natalia Vera,Operaciones,Senior,Contrato,40,30,1219.95,4.98
101,Natalia Rodríguez,TI,Junior,Tiempo completo,34,25,737.64,1.03
102,Paula Mendoza,Ventas,Junior,Medio tiempo,40,0,1349.79,1.19
103,Ana Castro,Recursos Humanos,Junior,Medio tiempo,27,5,966.88,4.8
104,María López,Finanzas,Semi-Senior,Tiempo completo,21,3,1287.55,4.78
105,Laura Pérez,Marketing,Senior,Tiempo completo,53,4,1494.17,4.0
106,Sofía Hernández,Finanzas,Junior,Tiempo completo,21,32,783.16,2.77
107,María Pérez,Operaciones,Semi-Senior,Medio tiempo,45,29,1712.78,3.13
108,Sofía Rodríguez,Ventas,Senior,Contrato,43,0,1082.93,2.55
109,Pedro Gómez,Ventas,Senior,Medio tiempo,58,6,1451.89,2.85
110,Valentina Mendoza,TI,Semi-Senior,Medio tiempo,37,34,1321.94,1.7
111,Valentina Martínez,Marketing,Junior,Tiempo completo,46,23,1065.98,2.93
112,Juan Gómez,Recursos Humanos,Semi-Senior,Medio tiempo,49,5,899.47,3.97
113,Fernando Martínez,Operaciones,Junior,Tiempo completo,43,30,1223.93,4.27
114,Andrés López,Marketing,Senior,Tiempo completo,47,8,1212.43,1.18
115,Laura Pérez,Operaciones,Semi-Senior,Tiempo completo,58,15,1541.39,3.33
116,Sofía Mendoza,TI,Semi-Senior,Contrato,38,4,1313.37,1.35
117,Miguel Vera,Marketing,Senior,Tiempo completo,48,31,1731.16,4.91
118,Jorge García,Operaciones,Semi-Senior,Tiempo completo,29,15,1325.63,3.08
119,Miguel Mendoza,Marketing,Junior,Tiempo completo,51,21,1173.05,2.19
120,Daniela Pérez,TI,Junior,Contrato,37,26,1317.53,4.48
121,Jorge Martínez,Finanzas,Semi-Senior,Tiempo completo,38,12,1745.75,1.71
122,Camila Gómez,Operaciones,Semi-Senior,Medio tiempo,29,24,1070.28,2.95
123,José Gómez,Marketing,Semi-Senior,Medio tiempo,57,8,1354.49,4.44
124,Ana Vera,Finanzas,Junior,Medio tiempo,24,3,1336.53,1.49
125,Luis Rodríguez,Recursos Humanos,Junior,Medio tiempo,21,22,1340.19,2.19
126,Diego Rodríguez,Recursos Humanos,Junior,Contrato,54,20,1155.94,1.18
127,Sofía Vera,Recursos Humanos,Junior,Tiempo completo,56,4,965.67,2.73
128,María Hernández,Operaciones,Junior,Tiempo completo,46,19,1646.99,1.27
129,Luis Mendoza,Marketing,Senior,Medio tiempo,53,1,1159.57,3.19
130,Natalia Hernández,Recursos Humanos,Senior,Medio tiempo,35,33,1924.05,2.3
131,Diego García,Ventas,Junior,Tiempo completo,30,20,1422.08,3.92
132,María Pérez,Recursos Humanos,Senior,Contrato,40,12,951.67,2.61
133,Laura Vera,Marketing,Senior,Tiempo completo,22,31,1264.14,3.3
134,Sofía Vera,Marketing,Junior,Medio tiempo,37,12,946.4,3.58
135,Laura Hernández,Operaciones,Senior,Medio tiempo,23,3,1303.48,2.51
136,Miguel López,Finanzas,Semi-Senior,Tiempo completo,29,21,1242.71,4.06
137,Lucía Pérez,TI,Semi-Senior,Contrato,54,19,1942.32,1.68
138,Lucía Castro,Recursos Humanos,Semi-Senior,Medio tiempo,24,31,1589.71,3.69
139,Natalia López,Operaciones,Senior,Medio tiempo,42,17,1344.27,2.59
140,Paula Castro,Finanzas,Semi-Senior,Contrato,42,25,809.29,2.73
141,Luis Gómez,Finanzas,Senior,Tiempo completo,48,30,431.08,4.23
142,Pedro Pérez,Marketing,Semi-Senior,Medio tiempo,29,21,1348.17,1.07
143,Jorge Vera,Finanzas,Semi-Senior,Medio tiempo,29,28,823.81,4.85
144,Jorge López,Finanzas,Semi-Senior,Medio tiempo,39,21,1341.35,4.38
145,Jorge Hernández,Finanzas,Semi-Senior,Tiempo completo,49,5,1555.0,2.17
146,Carlos Vera,Recursos Humanos,Semi-Senior,Medio tiempo,44,15,400.0,2.57
147,Diego Gómez,Marketing,Semi-Senior,Medio tiempo,38,28,1399.87,1.19
148,Miguel Pérez,Finanzas,Senior,Contrato,29,31,712.44,3.17
149,Ana García,Marketing,Junior,Medio tiempo,48,14,1293.13,3.76
150,Carlos Hernández,Operaciones,Senior,Medio tiempo,55,34,822.47,4.07
151,Lucía Castro,Marketing,Junior,Contrato,44,25,400.0,4.28
152,Natalia Gómez,Operaciones,Junior,Contrato,47,17,635.65,4.87
153,Laura Hernández,TI,Senior,Tiempo completo,55,22,2173.7,4.06
154,José Vera,Operaciones,Semi-Senior,Tiempo completo,27,24,1474.94,4.11
155,Paula Pérez,Marketing,Semi-Senior,Medio tiempo,32,1,1685.59,4.46
156,Miguel Hernández,Recursos Humanos,Semi-Senior,Medio tiempo,36,12,1737.78,2.44
157,Ana López,Recursos Humanos,Junior,Contrato,52,16,943.05,3.06
158,Luis López,Recursos Humanos,Senior,Tiempo completo,49,3,1322.84,3.54
159,Ana Mendoza,TI,Senior,Tiempo completo,44,9,771.69,3.45
160,Paula Gómez,TI,Senior,Contrato,59,17,766.34,2.22
161,Natalia Martínez,Finanzas,Junior,Medio tiempo,33,15,1293.57,1.65
162,Laura Rodríguez,Operaciones,Semi-Senior,Tiempo completo,23,16,1449.38,4.41
163,Carlos García,TI,Junior,Contrato,49,16,861.55,1.02
164,Miguel Rodríguez,Operaciones,Semi-Senior,Medio tiempo,37,1,1481.52,3.91
165,Miguel García,Recursos Humanos,Semi-Senior,Tiempo completo,38,10,887.85,1.05
166,Fernando Vera,Finanzas,Senior,Medio tiempo,24,29,953.22,2.01
167,Ana López,Ventas,Senior,Contrato,46,16,1541.16,2.1
168,Valentina Vera,Recursos Humanos,Senior,Contrato,34,17,1285.23,1.17
169,Daniela García,Ventas,Junior,Contrato,41,27,707.14,1.54
170,Diego Gómez,Finanzas,Semi-Senior,Tiempo completo,27,14,1328.53,4.3
171,Pedro García,TI,Senior,Tiempo completo,29,2,1230.03,3.23
172,Sofía Mendoza,Finanzas,Junior,Tiempo completo,43,33,1889.15,1.13
173,Luis García,Marketing,Junior,Medio tiempo,55,19,991.7,4.91
174,Luis Vera,Operaciones,Semi-Senior,Tiempo completo,35,12,788.57,1.22
175,Lucía López,TI,Senior,Tiempo completo,50,11,1581.18,3.54
176,Jorge Martínez,Operaciones,Senior,Tiempo completo,59,9,1994.33,1.02
177,Laura Gómez,Ventas,Senior,Medio tiempo,39,23,1740.84,3.19
178,Natalia Mendoza,Marketing,Semi-Senior,Medio tiempo,26,24,640.71,2.2
179,Ana Castro,Ventas,Semi-Senior,Medio tiempo,22,4,1617.23,2.22
180,Luis Gómez,Operaciones,Semi-Senior,Contrato,39,9,1739.17,1.59
181,Juan Mendoza,Operaciones,Junior,Contrato,59,33,1106.08,2.99
182,Miguel Vera,Recursos Humanos,Junior,Contrato,22,8,1256.6,1.96
183,Daniela Rodríguez,TI,Senior,Medio tiempo,54,4,400.0,1.86
184,Ana García,Marketing,Junior,Tiempo completo,57,0,1461.25,3.89
185,Valentina Castro,Marketing,Senior,Tiempo completo,41,31,1178.87,1.32
186,Andrés Gómez,Marketing,Senior,Medio tiempo,38,10,1151.82,4.71
187,María Gómez,Recursos Humanos,Junior,Medio tiempo,30,15,1327.41,2.77
188,Lucía Rodríguez,Operaciones,Junior,Medio tiempo,26,6,1165.89,3.91
189,Carlos Vera,Ventas,Junior,Medio tiempo,24,28,1159.4,3.62
190,Laura Pérez,Recursos Humanos,Semi-Senior,Medio tiempo,54,30,1139.77,3.46
191,Laura Castro,Ventas,Junior,Contrato,51,29,1549.08,3.02
192,Laura Hernández,TI,Semi-Senior,Contrato,25,7,1060.49,3.68
193,Miguel Rodríguez,TI,Semi-Senior,Tiempo completo,37,13,1088.94,2.44
194,Laura Pérez,Marketing,Junior,Tiempo completo,58,4,1408.81,4.55
195,Juan García,Finanzas,Junior,Contrato,32,0,851.53,2.3
196,Fernando López,Finanzas,Semi-Senior,Contrato,26,5,823.79,4.92
197,Sofía Castro,Ventas,Junior,Contrato,44,12,917.36,2.6
198,Diego Rodríguez,Marketing,Junior,Tiempo completo,29,4,881.75,1.66
199,Sofía Castro,Finanzas,Semi-Senior,Tiempo completo,49,5,1683.01,1.87
200,Daniela Vera,TI,Semi-Senior,Medio tiempo,50,15,1458.49,3.24
201,Natalia Martínez,Ventas,Junior,Contrato,30,25,904.37,2.65
202,Paula Vera,Ventas,Semi-Senior,Medio tiempo,28,33,1250.8,2.25
203,Daniela Vera,Operaciones,Junior,Medio tiempo,57,2,1069.54,2.68
204,Juan García,Recursos Humanos,Senior,Tiempo completo,56,7,1047.13,4.55
205,Carlos Vera,Marketing,Junior,Tiempo completo,58,33,841.84,4.62
206,María Vera,Operaciones,Senior,Contrato,23,5,1280.42,1.17
207,Laura Vera,Operaciones,Semi-Senior,Tiempo completo,58,15,1643.57,4.12
208,Ana Vera,Ventas,Senior,Contrato,59,23,769.4,2.24
209,Pedro Mendoza,Finanzas,Semi-Senior,Tiempo completo,22,17,615.38,2.31
210,Pedro Mendoza,Ventas,Senior,Contrato,45,29,1018.56,2.02
211,Ana Gómez,Operaciones,Junior,Contrato,51,19,835.83,2.73
212,Laura Rodríguez,Operaciones,Junior,Medio tiempo,24,6,1328.04,4.99
213,Daniela Martínez,Finanzas,Semi-Senior,Medio tiempo,22,23,662.38,4.54
214,Laura López,Marketing,Senior,Contrato,20,6,847.38,1.22
215,Valentina Vera,Ventas,Senior,Tiempo completo,27,32,466.91,2.53
216,Natalia Mendoza,TI,Junior,Contrato,40,2,1997.68,1.1
217,Ana Pérez,TI,Senior,Contrato,20,4,1107.21,1.92
218,Fernando Martínez,Finanzas,Senior,Medio tiempo,59,18,1169.29,1.34
219,Laura Martínez,TI,Semi-Senior,Tiempo completo,29,24,1059.81,4.55
220,Pedro Rodríguez,TI,Junior,Tiempo completo,41,6,1500.31,1.09
221,Sofía Vera,Marketing,Semi-Senior,Tiempo completo,57,1,857.78,4.36
222,Daniela Vera,Recursos Humanos,Senior,Contrato,46,15,1052.94,2.66
223,Diego Vera,Marketing,Junior,Contrato,55,22,829.09,3.77
224,José García,Finanzas,Junior,Medio tiempo,50,33,1236.09,1.04
225,Sofía Hernández,Operaciones,Senior,Medio tiempo,58,1,474.64,3.05
226,María Martínez,Operaciones,Semi-Senior,Contrato,29,18,923.68,2.0
227,Natalia Pérez,Marketing,Semi-Senior,Contrato,53,27,1181.11,4.05
228,Sofía Rodríguez,Marketing,Semi-Senior,Contrato,27,18,816.44,1.74
229,Andrés Vera,Ventas,Semi-Senior,Medio tiempo,27,16,1135.13,1.25
230,Juan Castro,Marketing,Junior,Contrato,45,12,1004.59,4.67
231,Daniela Martínez,Marketing,Senior,Contrato,50,12,1104.23,1.49
232,Paula Martínez,Recursos Humanos,Senior,Contrato,38,1,1713.27,1.08
233,José Vera,Recursos Humanos,Junior,Contrato,33,7,586.82,4.1
234,Sofía Castro,Ventas,Junior,Medio tiempo,29,14,1387.85,4.46
235,Valentina Martínez,Marketing,Junior,Medio tiempo,48,25,1852.67,2.21
236,Luis Gómez,Ventas,Senior,Contrato,42,17,1790.92,4.42
237,Juan Castro,Recursos Humanos,Junior,Tiempo completo,58,16,1260.24,2.11
238,Andrés Gómez,Ventas,Senior,Medio tiempo,46,30,619.32,3.95
239,Natalia García,Recursos Humanos,Senior,Medio tiempo,31,32,658.94,3.0
240,Ana Castro,TI,Semi-Senior,Medio tiempo,57,0,1492.89,2.56
241,Daniela Martínez,Ventas,Senior,Contrato,28,16,1891.09,4.2
242,Lucía López,Marketing,Semi-Senior,Medio tiempo,49,20,1373.36,3.24
243,Paula Martínez,Ventas,Senior,Medio tiempo,32,24,1316.41,4.84
244,Miguel Hernández,TI,Junior,Tiempo completo,47,11,1728.93,4.19
245,Camila Rodríguez,Finanzas,Senior,Medio tiempo,53,7,1636.5,4.3
246,Fernando Martínez,Ventas,Semi-Senior,Tiempo completo,41,17,948.9,1.03
247,Laura Rodríguez,Recursos Humanos,Senior,Contrato,27,14,1252.9,3.92
248,Juan García,Ventas,Junior,Medio tiempo,29,28,1372.66,4.75
249,Daniela Hernández,Recursos Humanos,Junior,Medio tiempo,49,18,1811.64,3.38
250,Juan Mendoza,Recursos Humanos,Semi-Senior,Tiempo completo,46,25,1171.27,2.36
251,Daniela Gómez,Recursos Humanos,Junior,Tiempo completo,52,12,803.03,2.72
252,Ana Martínez,Ventas,Semi-Senior,Medio tiempo,57,17,1764.44,4.22
253,Andrés Castro,Recursos Humanos,Senior,Medio tiempo,56,25,1226.94,1.85
254,Ana Mendoza,Marketing,Senior,Medio tiempo,27,16,858.15,1.07
255,Jorge Gómez,Finanzas,Senior,Medio tiempo,40,15,1465.24,1.1
256,Paula Hernández,Recursos Humanos,Semi-Senior,Tiempo completo,34,26,918.46,4.65
257,Pedro Mendoza,Finanzas,Semi-Senior,Medio tiempo,58,16,1680.47,3.21
258,José Martínez,Recursos Humanos,Senior,Tiempo completo,53,17,1403.46,1.26
259,Ana Pérez,Finanzas,Senior,Tiempo completo,28,4,424.18,4.62
260,Valentina García,Operaciones,Senior,Medio tiempo,34,28,786.31,4.78
261,Sofía Gómez,Finanzas,Junior,Medio tiempo,28,24,975.46,4.56
262,Miguel Vera,Ventas,Junior,Medio tiempo,27,5,2033.29,4.65
263,Fernando López,Marketing,Senior,Tiempo completo,40,22,1424.75,2.21
264,Lucía Gómez,Finanzas,Semi-Senior,Contrato,39,9,1156.84,1.88
265,Carlos Hernández,Recursos Humanos,Senior,Medio tiempo,21,1,1009.49,2.1
266,Valentina Vera,Operaciones,Senior,Tiempo completo,50,8,1758.47,3.91
267,Valentina Martínez,Finanzas,Semi-Senior,Contrato,42,18,1511.34,4.9
268,Valentina Hernández,Ventas,Senior,Tiempo completo,35,2,742.29,1.64
269,Lucía Vera,Finanzas,Semi-Senior,Contrato,24,5,400.0,2.95
270,Laura Castro,Operaciones,Semi-Senior,Contrato,31,6,1178.43,2.79
271,Natalia López,Operaciones,Semi-Senior,Contrato,57,11,970.11,3.74
272,María Mendoza,Recursos Humanos,Junior,Tiempo completo,49,32,609.54,2.41
273,María Gómez,Operaciones,Senior,Medio tiempo,33,17,1083.02,3.57
274,Andrés Hernández,Finanzas,Semi-Senior,Contrato,28,22,1242.39,4.57
275,Sofía Pérez,Finanzas,Semi-Senior,Medio tiempo,41,2,1403.73,3.01
276,Luis Hernández,TI,Junior,Tiempo completo,41,14,1339.62,1.02
277,Pedro Martínez,Finanzas,Junior,Contrato,29,18,926.29,2.18
278,Miguel García,Finanzas,Senior,Medio tiempo,43,16,600.24,4.86
279,Valentina López,Ventas,Senior,Tiempo completo,49,10,1155.36,3.2
280,Miguel Mendoza,Recursos Humanos,Semi-Senior,Tiempo completo,27,33,1746.83,4.49
281,Lucía López,Finanzas,Junior,Medio tiempo,34,4,1237.61,2.24
282,Laura Mendoza,Recursos Humanos,Senior,Medio tiempo,55,19,2342.64,2.89
283,Daniela García,Finanzas,Junior,Contrato,32,27,938.21,1.53
284,Natalia Vera,Operaciones,Senior,Medio tiempo,23,14,1530.81,2.42
285,Carlos López,TI,Senior,Tiempo completo,25,21,1121.9,1.16
286,Lucía Gómez,Marketing,Senior,Medio tiempo,29,14,921.29,1.76
287,Ana Rodríguez,Marketing,Junior,Tiempo completo,25,25,902.09,4.32
288,Lucía Mendoza,TI,Senior,Contrato,35,22,1643.26,2.39
289,Miguel Castro,Ventas,Semi-Senior,Contrato,59,34,1151.81,3.92
290,Sofía Martínez,Recursos Humanos,Senior,Medio tiempo,52,30,2145.67,4.17
291,Andrés Gómez,Ventas,Senior,Contrato,31,29,761.99,2.34
292,Luis Mendoza,Recursos Humanos,Semi-Senior,Medio tiempo,26,5,936.25,3.17
293,Juan Martínez,Ventas,Junior,Medio tiempo,44,16,1415.3,3.64
294,Carlos Vera,Ventas,Senior,Tiempo completo,57,22,1874.92,4.65
295,Paula Pérez,Recursos Humanos,Senior,Medio tiempo,43,20,488.88,4.91
296,Pedro Rodríguez,TI,Semi-Senior,Medio tiempo,40,4,968.84,2.97
297,Pedro Gómez,Recursos Humanos,Senior,Contrato,56,9,682.17,4.09
298,Andrés Hernández,Recursos Humanos,Senior,Tiempo completo,34,9,2088.55,3.66
299,Jorge López,Recursos Humanos,Junior,Tiempo completo,31,13,1440.61,3.11
300,Fernando Rodríguez,Recursos Humanos,Junior,Tiempo completo,22,21,1421.92,1.4
301,Valentina Vera,Finanzas,Semi-Senior,Contrato,35,34,442.77,1.74
302,Lucía Gómez,TI,Semi-Senior,Medio tiempo,27,28,801.38,1.16
303,Jorge García,Finanzas,Semi-Senior,Tiempo completo,59,29,1350.52,2.55
304,Valentina López,Marketing,Semi-Senior,Medio tiempo,40,11,565.93,4.83
305,Luis Mendoza,Recursos Humanos,Junior,Tiempo completo,29,28,1601.19,4.98
306,Miguel Rodríguez,Marketing,Junior,Tiempo completo,52,8,1513.59,1.93
307,Paula Gómez,TI,Semi-Senior,Tiempo completo,48,4,1296.65,4.62
308,Ana Pérez,Marketing,Senior,Medio tiempo,38,25,1362.44,3.3
309,Jorge Vera,Ventas,Semi-Senior,Tiempo completo,50,16,1586.77,1.93
310,Sofía Gómez,TI,Semi-Senior,Medio tiempo,31,1,400.0,4.94
311,Camila Mendoza,Finanzas,Senior,Tiempo completo,52,19,986.18,1.76
312,Luis Gómez,Marketing,Junior,Tiempo completo,54,20,1423.84,1.65
313,Pedro Vera,TI,Semi-Senior,Medio tiempo,59,10,1549.43,4.45
314,Jorge Hernández,Finanzas,Senior,Medio tiempo,34,17,984.39,3.75
315,Natalia Martínez,Marketing,Semi-Senior,Medio tiempo,23,15,1378.07,3.88
316,Carlos Rodríguez,Ventas,Junior,Medio tiempo,36,31,996.44,1.36
317,Luis García,Finanzas,Semi-Senior,Contrato,45,30,2174.41,3.41
318,Camila Pérez,Ventas,Senior,Medio tiempo,33,6,542.11,3.17
319,Luis Hernández,Operaciones,Semi-Senior,Contrato,39,24,870.21,3.42
320,Daniela Hernández,Recursos Humanos,Senior,Contrato,37,28,1575.96,1.3
321,Laura Castro,TI,Senior,Tiempo completo,22,33,1439.8,2.69
322,Sofía Vera,TI,Semi-Senior,Tiempo completo,43,2,435.72,2.24
323,Paula Hernández,TI,Semi-Senior,Tiempo completo,46,0,536.15,4.7
324,Paula Pérez,Operaciones,Semi-Senior,Contrato,23,4,1495.64,4.4
325,María Vera,TI,Junior,Medio tiempo,41,28,2014.31,3.21
326,Fernando López,Ventas,Senior,Medio tiempo,33,30,1270.65,4.78
327,Juan García,Operaciones,Semi-Senior,Tiempo completo,39,18,953.94,2.13
328,María López,Recursos Humanos,Senior,Contrato,23,13,1537.63,1.73
329,Miguel Hernández,Ventas,Senior,Tiempo completo,55,9,1445.1,3.37
330,María Vera,TI,Senior,Tiempo completo,51,10,779.36,4.92
331,Lucía Mendoza,Recursos Humanos,Senior,Medio tiempo,52,12,1107.73,3.74
332,Andrés Martínez,Ventas,Senior,Medio tiempo,56,17,955.21,4.32
333,Diego Mendoza,TI,Junior,Tiempo completo,40,29,859.66,4.74
334,Paula Gómez,Ventas,Senior,Tiempo completo,31,2,1506.96,4.2
335,Natalia Vera,Operaciones,Senior,Medio tiempo,20,13,535.57,3.12
336,Fernando Vera,Marketing,Semi-Senior,Tiempo completo,38,26,1683.65,3.32
337,Andrés Mendoza,TI,Junior,Tiempo completo,24,34,925.01,4.07
338,Luis Vera,Finanzas,Senior,Tiempo completo,24,5,1208.66,4.46
339,Natalia Mendoza,Marketing,Semi-Senior,Tiempo completo,39,2,1284.64,2.67
340,Luis Castro,Finanzas,Junior,Medio tiempo,45,14,1853.55,3.19
341,Carlos López,Marketing,Junior,Tiempo completo,25,12,572.02,1.86
